,Sale,weight,ppi,cpu_core,internal_mem,ram,RearCam,battery,pred
440,0,0,0,1,2,3,2,0,0
441,0,0,0,1,2,3,2,1,0
442,0,0,0,1,2,3,2,2,0
443,0,0,0,1,2,3,2,3,3
444,0,0,0,1,2,3,3,0,0
445,0,0,0,1,2,3,3,1,0
446,0,0,0,1,2,3,3,2,0
447,0,0,0,1,2,3,3,3,0
448,0,0,0,1,3,0,0,0,3
449,0,0,0,1,3,0,0,1,1
450,0,0,0,1,3,0,0,2,1
451,0,0,0,1,3,0,0,3,1
452,0,0,0,1,3,0,1,0,1
453,0,0,0,1,3,0,1,1,1
454,0,0,0,1,3,0,1,2,1
455,0,0,0,1,3,0,1,3,1
456,0,0,0,1,3,0,2,0,1
457,0,0,0,1,3,0,2,1,1
458,0,0,0,1,3,0,2,2,1
459,0,0,0,1,3,0,2,3,1
460,0,0,0,1,3,0,3,0,1
461,0,0,0,1,3,0,3,1,1
462,0,0,0,1,3,0,3,2,1
463,0,0,0,1,3,0,3,3,1
464,0,0,0,1,3,1,0,0,3
465,0,0,0,1,3,1,0,1,3
466,0,0,0,1,3,1,0,2,3
467,0,0,0,1,3,1,0,3,3
468,0,0,0,1,3,1,1,0,3
469,0,0,0,1,3,1,1,1,3
470,0,0,0,1,3,1,1,2,3
471,0,0,0,1,3,1,1,3,3
472,0,0,0,1,3,1,2,0,3
473,0,0,0,1,3,1,2,1,3
474,0,0,0,1,3,1,2,2,3
475,0,0,0,1,3,1,2,3,3
476,0,0,0,1,3,1,3,0,0
477,0,0,0,1,3,1,3,1,0
478,0,0,0,1,3,1,3,2,3
479,0,0,0,1,3,1,3,3,3
480,0,0,0,1,3,2,0,0,3
481,0,0,0,1,3,2,0,1,3
482,0,0,0,1,3,2,0,2,3
483,0,0,0,1,3,2,0,3,3
484,0,0,0,1,3,2,1,0,3
485,0,0,0,1,3,2,1,1,3
486,0,0,0,1,3,2,1,2,3
487,0,0,0,1,3,2,1,3,3
488,0,0,0,1,3,2,2,0,0
489,0,0,0,1,3,2,2,1,3
490,0,0,0,1,3,2,2,2,3
491,0,0,0,1,3,2,2,3,3
492,0,0,0,1,3,2,3,0,0
493,0,0,0,1,3,2,3,1,0
494,0,0,0,1,3,2,3,2,0
495,0,0,0,1,3,2,3,3,3
496,0,0,0,1,3,3,0,0,3
497,0,0,0,1,3,3,0,1,3
498,0,0,0,1,3,3,0,2,3
499,0,0,0,1,3,3,0,3,3
500,0,0,0,1,3,3,1,0,3
501,0,0,0,1,3,3,1,1,3
502,0,0,0,1,3,3,1,2,3
503,0,0,0,1,3,3,1,3,3
504,0,0,0,1,3,3,2,0,0
505,0,0,0,1,3,3,2,1,0
506,0,0,0,1,3,3,2,2,3
507,0,0,0,1,3,3,2,3,3
508,0,0,0,1,3,3,3,0,0
509,0,0,0,1,3,3,3,1,0
510,0,0,0,1,3,3,3,2,0
511,0,0,0,1,3,3,3,3,0
512,0,0,0,2,0,0,0,0,1
